d_bar,Set,Parameter,Data dimension,5% rejection rate
5,Set 1,"\mu=0.1, \sigma^2=1.3",1000,1.0
5,Set 1,"\mu=-0.05, \sigma^2=0.6",50,0.537
5,Set 1,"\mu=-0.05, \sigma^2=0.6",100,0.868
5,Set 1,"\mu=-0.05, \sigma^2=0.6",500,1.0
5,Set 1,"\mu=-0.05, \sigma^2=0.6",1000,1.0
5,Set 2,df=3,50,0.952
5,Set 2,df=3,100,1.0
5,Set 2,df=3,500,1.0
5,Set 2,df=3,1000,1.0
5,Set 2,df=5,50,0.394
5,Set 2,df=5,100,0.727
5,Set 2,df=5,500,1.0
5,Set 2,df=5,1000,1.0
5,Set 2,df=10,50,0.081
5,Set 2,df=10,100,0.133
5,Set 2,df=10,500,0.684
5,Set 2,df=10,1000,0.953
5,Set 3,"\mu=-0.05, \sigma^2=0.85",50,0.394
5,Set 3,"\mu=-0.05, \sigma^2=0.85",100,0.592
5,Set 3,"\mu=-0.05, \sigma^2=0.85",500,0.968
5,Set 3,"\mu=-0.05, \sigma^2=0.85",1000,0.986
5,Set 3,"\mu=0.0, \sigma^2=1.1",50,0.977
5,Set 3,"\mu=0.0, \sigma^2=1.1",100,0.999
5,Set 3,"\mu=0.0, \sigma^2=1.1",500,1.0
5,Set 3,"\mu=0.0, \sigma^2=1.1",1000,1.0
5,Set 3,"\mu=0.05, \sigma^2=1.05",50,0.759
5,Set 3,"\mu=0.05, \sigma^2=1.05",100,0.97
5,Set 3,"\mu=0.05, \sigma^2=1.05",500,1.0
5,Set 3,"\mu=0.05, \sigma^2=1.05",1000,1.0
5,Set 4,\sigma^2=0.6,50,0.539
5,Set 4,\sigma^2=0.6,100,0.882
5,Set 4,\sigma^2=0.6,500,1.0
5,Set 4,\sigma^2=0.6,1000,1.0
5,Set 4,\sigma^2=0.8,50,0.163
5,Set 4,\sigma^2=0.8,100,0.324
5,Set 4,\sigma^2=0.8,500,0.974
5,Set 4,\sigma^2=0.8,1000,1.0
5,Set 4,\sigma^2=1.3,50,0.542
5,Set 4,\sigma^2=1.3,100,0.843
5,Set 4,\sigma^2=1.3,500,1.0
5,Set 4,\sigma^2=1.3,1000,1.0
5,Set 5,\mu=-1.0,50,1.0
5,Set 5,\mu=-1.0,100,1.0
5,Set 5,\mu=-1.0,500,1.0
5,Set 5,\mu=-1.0,1000,1.0
5,Set 5,\mu=0.6,50,0.838
5,Set 5,\mu=0.6,100,0.951
5,Set 5,\mu=0.6,500,1.0
5,Set 5,\mu=0.6,1000,1.0
5,Set 5,\mu=1.3,50,1.0
5,Set 5,\mu=1.3,100,1.0
5,Set 5,\mu=1.3,500,1.0
5,Set 5,\mu=1.3,1000,1.0
7,Set 0,dgp=1,50,0.057
7,Set 0,dgp=1,100,0.064
7,Set 0,dgp=1,500,0.045
7,Set 0,dgp=1,1000,0.05
7,Set 0,dgp=2,50,0.043
7,Set 0,dgp=2,100,0.052
7,Set 0,dgp=2,500,0.054
7,Set 0,dgp=2,1000,0.056
7,Set 0,dgp=3,50,0.048
7,Set 0,dgp=3,100,0.051
7,Set 0,dgp=3,500,0.055
7,Set 0,dgp=3,1000,0.052
7,Set 0,dgp=4,50,0.05
7,Set 0,dgp=4,100,0.05
7,Set 0,dgp=4,500,0.045
7,Set 0,dgp=4,1000,0.048
7,Set 1,"\mu=0.05, \sigma^2=0.5",50,0.689
7,Set 1,"\mu=0.05, \sigma^2=0.5",100,0.954
7,Set 1,"\mu=0.05, \sigma^2=0.5",500,1.0
7,Set 1,"\mu=0.05, \sigma^2=0.5",1000,1.0
7,Set 1,"\mu=0.1, \sigma^2=1.3",50,0.519
7,Set 1,"\mu=0.1, \sigma^2=1.3",100,0.869
7,Set 1,"\mu=0.1, \sigma^2=1.3",500,1.0
7,Set 1,"\mu=0.1, \sigma^2=1.3",1000,1.0
7,Set 1,"\mu=-0.05, \sigma^2=0.6",50,0.551
7,Set 1,"\mu=-0.05, \sigma^2=0.6",100,0.855
7,Set 1,"\mu=-0.05, \sigma^2=0.6",500,1.0
7,Set 1,"\mu=-0.05, \sigma^2=0.6",1000,1.0
7,Set 2,df=3,50,0.951
7,Set 2,df=3,100,1.0
7,Set 2,df=3,500,1.0
7,Set 2,df=3,1000,1.0
7,Set 2,df=5,50,0.374
7,Set 2,df=5,100,0.698
7,Set 2,df=5,500,1.0
7,Set 2,df=5,1000,1.0
7,Set 2,df=10,50,0.085
7,Set 2,df=10,100,0.141
7,Set 2,df=10,500,0.681
7,Set 2,df=10,1000,0.946
7,Set 3,"\mu=-0.05, \sigma^2=0.85",50,0.351
7,Set 3,"\mu=-0.05, \sigma^2=0.85",100,0.599
7,Set 3,"\mu=-0.05, \sigma^2=0.85",500,0.957
7,Set 3,"\mu=-0.05, \sigma^2=0.85",1000,0.986
7,Set 3,"\mu=0.0, \sigma^2=1.1",50,0.975
7,Set 3,"\mu=0.0, \sigma^2=1.1",100,1.0
7,Set 3,"\mu=0.0, \sigma^2=1.1",500,1.0
7,Set 3,"\mu=0.0, \sigma^2=1.1",1000,1.0
7,Set 3,"\mu=0.05, \sigma^2=1.05",50,0.758
7,Set 3,"\mu=0.05, \sigma^2=1.05",100,0.975
7,Set 3,"\mu=0.05, \sigma^2=1.05",500,1.0
7,Set 3,"\mu=0.05, \sigma^2=1.05",1000,1.0
7,Set 4,\sigma^2=0.6,50,0.564
7,Set 4,\sigma^2=0.6,100,0.859
7,Set 4,\sigma^2=0.6,500,1.0
7,Set 4,\sigma^2=0.6,1000,1.0
7,Set 4,\sigma^2=0.8,50,0.156
7,Set 4,\sigma^2=0.8,100,0.295
7,Set 4,\sigma^2=0.8,500,0.976
7,Set 4,\sigma^2=0.8,1000,0.999
7,Set 4,\sigma^2=1.3,50,0.523
7,Set 4,\sigma^2=1.3,100,0.864
7,Set 4,\sigma^2=1.3,500,1.0
7,Set 4,\sigma^2=1.3,1000,1.0
7,Set 5,\mu=-1.0,50,0.999
7,Set 5,\mu=-1.0,100,1.0
7,Set 5,\mu=-1.0,500,1.0
7,Set 5,\mu=-1.0,1000,1.0
7,Set 5,\mu=0.6,50,0.867
7,Set 5,\mu=0.6,100,0.944
7,Set 5,\mu=0.6,500,1.0
7,Set 5,\mu=0.6,1000,1.0
7,Set 5,\mu=1.3,50,1.0
7,Set 5,\mu=1.3,100,1.0
7,Set 5,\mu=1.3,500,1.0
7,Set 5,\mu=1.3,1000,1.0
